| table_name               | column_name                            | data_type                | is_nullable |
| ------------------------ | -------------------------------------- | ------------------------ | ----------- |
| connect_products         | id                                     | uuid                     | NO          |
| connect_products         | product_id                             | text                     | NO          |
| connect_products         | supplier_name                          | text                     | YES         |
| connect_products         | product_name                           | text                     | NO          |
| connect_products         | manufacturer_item_number               | text                     | YES         |
| connect_products         | brand_name                             | text                     | YES         |
| connect_products         | product_line                           | text                     | YES         |
| connect_products         | package_size                           | numeric                  | YES         |
| connect_products         | package_size_uom                       | text                     | YES         |
| connect_products         | case_pack                              | integer                  | YES         |
| connect_products         | original_product_data                  | jsonb                    | NO          |
| connect_products         | assigned_universal_product_id          | uuid                     | YES         |
| connect_products         | assigned_identifier_id                 | uuid                     | YES         |
| connect_products         | assigned_gtin                          | text                     | YES         |
| connect_products         | assigned_packaging_level               | text                     | YES         |
| connect_products         | selected_enrichment_source_id          | uuid                     | YES         |
| connect_products         | selected_source_product_record_id      | uuid                     | YES         |
| connect_products         | gtin_status                            | text                     | NO          |
| connect_products         | enrichment_status                      | text                     | NO          |
| connect_products         | created_at                             | timestamp with time zone | NO          |
| connect_products         | updated_at                             | timestamp with time zone | NO          |
| enrichment_sources       | id                                     | uuid                     | NO          |
| enrichment_sources       | code                                   | text                     | NO          |
| enrichment_sources       | name                                   | text                     | NO          |
| enrichment_sources       | source_type                            | text                     | YES         |
| enrichment_sources       | logo_url                               | text                     | YES         |
| enrichment_sources       | display_order                          | integer                  | NO          |
| enrichment_sources       | is_active                              | boolean                  | NO          |
| enrichment_sources       | created_at                             | timestamp with time zone | NO          |
| enrichment_sources       | updated_at                             | timestamp with time zone | NO          |
| product_identifiers      | id                                     | uuid                     | NO          |
| product_identifiers      | universal_product_id                   | uuid                     | NO          |
| product_identifiers      | identifier_type                        | text                     | NO          |
| product_identifiers      | identifier_value                       | text                     | NO          |
| product_identifiers      | packaging_level_code                   | text                     | NO          |
| product_identifiers      | display_label                          | text                     | YES         |
| product_identifiers      | is_primary                             | boolean                  | NO          |
| product_identifiers      | created_at                             | timestamp with time zone | NO          |
| product_match_candidates | id                                     | uuid                     | NO          |
| product_match_candidates | connect_product_id                     | uuid                     | NO          |
| product_match_candidates | universal_product_id                   | uuid                     | NO          |
| product_match_candidates | match_score                            | numeric                  | NO          |
| product_match_candidates | match_strength                         | text                     | NO          |
| product_match_candidates | matched_fields                         | jsonb                    | NO          |
| product_match_candidates | mismatched_fields                      | jsonb                    | NO          |
| product_match_candidates | score_details                          | jsonb                    | NO          |
| product_match_candidates | rank                                   | integer                  | YES         |
| product_match_candidates | created_at                             | timestamp with time zone | NO          |
| source_product_records   | id                                     | uuid                     | NO          |
| source_product_records   | universal_product_id                   | uuid                     | NO          |
| source_product_records   | enrichment_source_id                   | uuid                     | NO          |
| source_product_records   | source_record_id                       | text                     | YES         |
| source_product_records   | product_title                          | text                     | YES         |
| source_product_records   | product_title_language_code            | text                     | YES         |
| source_product_records   | product_type                           | text                     | YES         |
| source_product_records   | product_type_language_code             | text                     | YES         |
| source_product_records   | information_provider_gln               | text                     | YES         |
| source_product_records   | manufacturer_gln                       | text                     | YES         |
| source_product_records   | brand_owner_gln                        | text                     | YES         |
| source_product_records   | manufacturer_name                      | text                     | YES         |
| source_product_records   | manufacturer_item_number               | text                     | YES         |
| source_product_records   | manufacturer_item_number_type          | text                     | YES         |
| source_product_records   | brand_name                             | text                     | YES         |
| source_product_records   | gpc_code                               | text                     | YES         |
| source_product_records   | barcode_type_code                      | text                     | YES         |
| source_product_records   | country_of_origin_code                 | text                     | YES         |
| source_product_records   | target_market_code                     | text                     | YES         |
| source_product_records   | gtin_name                              | text                     | YES         |
| source_product_records   | product_description                    | text                     | YES         |
| source_product_records   | product_description_language_code      | text                     | YES         |
| source_product_records   | marketing_message                      | text                     | YES         |
| source_product_records   | marketing_message_language_code        | text                     | YES         |
| source_product_records   | referenced_files                       | jsonb                    | NO          |
| source_product_records   | ingredients                            | text                     | YES         |
| source_product_records   | ingredients_language_code              | text                     | YES         |
| source_product_records   | applicable_diets                       | jsonb                    | NO          |
| source_product_records   | allergen_statement                     | text                     | YES         |
| source_product_records   | allergen_statement_language_code       | text                     | YES         |
| source_product_records   | allergens                              | jsonb                    | NO          |
| source_product_records   | preparation_methods                    | jsonb                    | NO          |
| source_product_records   | preparation_instructions               | text                     | YES         |
| source_product_records   | preparation_instructions_language_code | text                     | YES         |
| source_product_records   | serving_size                           | numeric                  | YES         |
| source_product_records   | serving_size_uom                       | text                     | YES         |
| source_product_records   | servings_per_container                 | numeric                  | YES         |
| source_product_records   | nutrients                              | jsonb                    | NO          |
| source_product_records   | minimum_storage_temperature            | numeric                  | YES         |
| source_product_records   | minimum_storage_temperature_uom        | text                     | YES         |
| source_product_records   | maximum_storage_temperature            | numeric                  | YES         |
| source_product_records   | maximum_storage_temperature_uom        | text                     | YES         |
| source_product_records   | storage_instructions                   | text                     | YES         |
| source_product_records   | storage_instructions_language_code     | text                     | YES         |
| source_product_records   | total_shelf_life_days                  | integer                  | YES         |
| source_product_records   | primary_gtin                           | text                     | YES         |
| source_product_records   | packaging_level_code                   | text                     | YES         |
| source_product_records   | child_gtins                            | jsonb                    | NO          |
| source_product_records   | catch_weight_indicator                 | boolean                  | YES         |
| source_product_records   | length                                 | numeric                  | YES         |
| source_product_records   | width                                  | numeric                  | YES         |
| source_product_records   | height                                 | numeric                  | YES         |
